timestamp,datetime,diagnostics_low.bmb_comm_error,diagnostics_low.imd_gnd_isolation_error,diagnostics_low.shutdown_leg1,diagnostics_low.shutdown_leg2,diagnostics_low.shutdown_leg3,diagnostics_low.shutdown_leg4,dynamics.fl_pushrod_stress,dynamics.fl_spring_displace,dynamics.fl_strain_gauge_v,dynamics.flw_speed,pack.cell_bottom_temp,pack.cell_top_temp,pack.hv_c,pack.hv_pack_v,pack.hv_soc
1750309531.875238,2025-06-19 00:05:31.875,False,False,True,True,True,True,0.0,0.0,0.0,30.76,34.0,25.0,655.35,435.0,79.98
1750309531.889212,2025-06-19 00:05:31.889,,,,,,,0.0,0.0,0.0,31.76,,,,,
1750309531.903702,2025-06-19 00:05:31.903,,,,,,,0.0,0.0,0.0,30.52,,,,,
1750309531.918226,2025-06-19 00:05:31.918,,,,,,,0.0,0.0,0.0,29.44,,,,,
1750309531.932647,2025-06-19 00:05:31.932,,,,,,,0.0,0.0,0.0,29.17,,,,,
1750309531.9466481,2025-06-19 00:05:31.946,,,,,,,0.0,0.0,0.0,31.93,,,,,
1750309531.960649,2025-06-19 00:05:31.960,,,,,,,0.0,0.0,0.0,31.62,,,,,
1750309531.9745002,2025-06-19 00:05:31.974,,,,,,,0.0,0.0,0.0,31.080000000000002,,,,,
1750309531.986397,2025-06-19 00:05:31.986,False,False,True,False,False,True,0.0,0.0,0.0,29.71,34.0,25.0,655.35,444.0,80.33
1750309532.000714,2025-06-19 00:05:32.000,,,,,,,0.0,0.0,0.0,29.61,,,,,
1750309532.014751,2025-06-19 00:05:32.014,,,,,,,0.0,0.0,0.0,30.85,,,,,
1750309532.028683,2025-06-19 00:05:32.028,,,,,,,0.0,0.0,0.0,32.47,,,,,
1750309532.0428002,2025-06-19 00:05:32.042,,,,,,,0.0,0.0,0.0,33.04,,,,,
1750309532.056732,2025-06-19 00:05:32.056,,,,,,,0.0,0.0,0.0,30.29,,,,,
1750309532.070663,2025-06-19 00:05:32.070,,,,,,,0.0,0.0,0.0,31.54,,,,,
1750309532.0835268,2025-06-19 00:05:32.083,,,,,,,0.0,0.0,0.0,31.73,,,,,
1750309532.0975392,2025-06-19 00:05:32.097,False,False,False,False,False,True,0.0,0.0,0.0,30.76,37.0,24.0,655.35,442.0,80.72
1750309532.111459,2025-06-19 00:05:32.111,,,,,,,0.0,0.0,0.0,30.34,,,,,
1750309532.12534,2025-06-19 00:05:32.125,,,,,,,0.0,0.0,0.0,30.46,,,,,
1750309532.1392488,2025-06-19 00:05:32.139,,,,,,,0.0,0.0,0.0,30.14,,,,,
1750309532.152077,2025-06-19 00:05:32.152,,,,,,,0.0,0.0,0.0,29.830000000000002,,,,,
1750309532.1645691,2025-06-19 00:05:32.164,,,,,,,0.0,0.0,0.0,31.41,,,,,
1750309532.178488,2025-06-19 00:05:32.178,,,,,,,0.0,0.0,0.0,29.76,,,,,
1750309532.1915789,2025-06-19 00:05:32.191,,,,,,,0.0,0.0,0.0,32.35,,,,,
1750309532.20392,2025-06-19 00:05:32.203,False,False,False,False,False,True,0.0,0.0,0.0,30.73,34.0,27.0,655.35,440.0,80.93
1750309532.217814,2025-06-19 00:05:32.217,,,,,,,0.0,0.0,0.0,33.28,,,,,
1750309532.2316532,2025-06-19 00:05:32.231,,,,,,,0.0,0.0,0.0,31.220000000000002,,,,,
1750309532.245445,2025-06-19 00:05:32.245,,,,,,,0.0,0.0,0.0,31.19,,,,,
1750309532.2578099,2025-06-19 00:05:32.257,,,,,,,0.0,0.0,0.0,30.22,,,,,
1750309532.270059,2025-06-19 00:05:32.270,,,,,,,0.0,0.0,0.0,31.34,,,,,
1750309532.283905,2025-06-19 00:05:32.283,,,,,,,0.0,0.0,0.0,30.1,,,,,
1750309532.296871,2025-06-19 00:05:32.296,,,,,,,0.0,0.0,0.0,32.3,,,,,
1750309532.3094301,2025-06-19 00:05:32.309,False,False,False,False,False,True,0.0,0.0,0.0,33.67,37.0,28.0,655.35,437.0,79.94
1750309532.322975,2025-06-19 00:05:32.322,,,,,,,0.0,0.0,0.0,32.08,,,,,
1750309532.336851,2025-06-19 00:05:32.336,,,,,,,0.0,0.0,0.0,33.77,,,,,
1750309532.35076,2025-06-19 00:05:32.350,,,,,,,0.0,0.0,0.0,32.92,,,,,
1750309532.3648,2025-06-19 00:05:32.364,,,,,,,0.0,0.0,0.0,31.16,,,,,
1750309532.378732,2025-06-19 00:05:32.378,,,,,,,0.0,0.0,0.0,32.88,,,,,
1750309532.395742,2025-06-19 00:05:32.395,,,,,,,0.0,0.0,0.0,31.94,,,,,
1750309532.409861,2025-06-19 00:05:32.409,False,False,False,False,False,True,0.0,0.0,0.0,32.87,36.0,25.0,655.35,444.0,81.06
1750309532.42408,2025-06-19 00:05:32.424,,,,,,,0.0,0.0,0.0,31.25,,,,,
1750309532.4379961,2025-06-19 00:05:32.437,,,,,,,0.0,0.0,0.0,32.15,,,,,
1750309532.453587,2025-06-19 00:05:32.453,,,,,,,0.0,0.0,0.0,31.88,,,,,
1750309532.4656599,2025-06-19 00:05:32.465,,,,,,,0.0,0.0,0.0,32.95,,,,,
1750309532.4781141,2025-06-19 00:05:32.478,,,,,,,0.0,0.0,0.0,32.57,,,,,
1750309532.4922812,2025-06-19 00:05:32.492,,,,,,,0.0,0.0,0.0,32.69,,,,,
1750309532.505746,2025-06-19 00:05:32.505,,,,,,,0.0,0.0,0.0,31.490000000000002,,,,,
1750309532.520004,2025-06-19 00:05:32.520,False,False,False,False,False,True,0.0,0.0,0.0,34.04,37.0,26.0,655.35,436.0,80.67
1750309532.534046,2025-06-19 00:05:32.534,,,,,,,0.0,0.0,0.0,32.86,,,,,
1750309532.5481658,2025-06-19 00:05:32.548,,,,,,,0.0,0.0,0.0,30.46,,,,,
1750309532.5621262,2025-06-19 00:05:32.562,,,,,,,0.0,0.0,0.0,33.980000000000004,,,,,
1750309532.576122,2025-06-19 00:05:32.576,,,,,,,0.0,0.0,0.0,33.5,,,,,
1750309532.589988,2025-06-19 00:05:32.589,,,,,,,0.0,0.0,0.0,31.79,,,,,
1750309532.60339,2025-06-19 00:05:32.603,,,,,,,0.0,0.0,0.0,33.01,,,,,
1750309532.617329,2025-06-19 00:05:32.617,,,,,,,0.0,0.0,0.0,33.29,,,,,
1750309532.6313531,2025-06-19 00:05:32.631,False,False,False,False,False,True,0.0,0.0,0.0,34.19,35.0,28.0,655.35,442.0,81.16
1750309532.6454442,2025-06-19 00:05:32.645,,,,,,,0.0,0.0,0.0,30.48,,,,,
1750309532.659318,2025-06-19 00:05:32.659,,,,,,,0.0,0.0,0.0,33.21,,,,,
1750309532.671732,2025-06-19 00:05:32.671,,,,,,,0.0,0.0,0.0,33.51,,,,,
1750309532.685589,2025-06-19 00:05:32.685,,,,,,,0.0,0.0,0.0,33.93,,,,,
1750309532.699489,2025-06-19 00:05:32.699,,,,,,,0.0,0.0,0.0,31.18,,,,,
1750309532.713355,2025-06-19 00:05:32.713,,,,,,,0.0,0.0,0.0,32.39,,,,,
1750309532.727167,2025-06-19 00:05:32.727,,,,,,,0.0,0.0,0.0,30.77,,,,,
1750309532.741054,2025-06-19 00:05:32.741,False,False,False,False,False,True,0.0,0.0,0.0,33.1,37.0,28.0,655.35,437.0,81.19
1750309532.754935,2025-06-19 00:05:32.754,,,,,,,0.0,0.0,0.0,33.32,,,,,
1750309532.7687669,2025-06-19 00:05:32.768,,,,,,,0.0,0.0,0.0,32.55,,,,,
1750309532.782675,2025-06-19 00:05:32.782,,,,,,,0.0,0.0,0.0,31.41,,,,,
1750309532.796507,2025-06-19 00:05:32.796,,,,,,,0.0,0.0,0.0,33.33,,,,,
1750309532.8103628,2025-06-19 00:05:32.810,,,,,,,0.0,0.0,0.0,31.240000000000002,,,,,
1750309532.824219,2025-06-19 00:05:32.824,,,,,,,0.0,0.0,0.0,32.45,,,,,
1750309532.8380811,2025-06-19 00:05:32.838,,,,,,,0.0,0.0,0.0,32.83,,,,,
1750309532.8510551,2025-06-19 00:05:32.851,False,False,False,False,False,True,0.0,0.0,0.0,33.14,34.0,28.0,655.35,440.0,81.55
1750309532.8643599,2025-06-19 00:05:32.864,,,,,,,0.0,0.0,0.0,31.21,,,,,
1750309532.878269,2025-06-19 00:05:32.878,,,,,,,0.0,0.0,0.0,31.830000000000002,,,,,
1750309532.892101,2025-06-19 00:05:32.892,,,,,,,0.0,0.0,0.0,33.18,,,,,
1750309532.905904,2025-06-19 00:05:32.905,,,,,,,0.0,0.0,0.0,33.49,,,,,
